NIT;RAZÓN SOCIAL;SUPERVISOR;REGIÓN;DEPARTAMENTO DOMICILIO;CIUDAD DOMICILIO;CIIU;MACROSECTOR;INGRESOS OPERACIONALES;GANANCIA (PÉRDIDA);TOTAL ACTIVOS;TOTAL PASIVOS;TOTAL PATRIMONIO;Año de Corte
901223983;GRUPO BOLIVARIANA SAS;SUPERSOCIEDADES;Región Andina;NORTE DE SANTANDER;CUCUTA;4711;COMERCIO;6;0;2;1;1;2023
802017066;SODICSA SAS;SUPERSOCIEDADES;Región Caribe;ATLANTICO;BARRANQUILLA;4731;COMERCIO;6;0;2;1;1;2023
900390141;CI COLOMBIA PARADISE SAS;SUPERSOCIEDADES;Región Andina;CUNDINAMARCA;SILVANIA;4631;COMERCIO;6;0;4;3;1;2023
830135980;GLOBAL OIL LUBRICANTES SAS;SUPERSOCIEDADES;Región Andina;CUNDINAMARCA;COTA ;1921;MANUFACTURA;6;0;2;1;1;2023
900338016;COLSAISA SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4530;COMERCIO;6;0;3;2;1;2023
900507094;OFERTA LABORAL S.A.S.;SUPERSOCIEDADES;Región Caribe;ATLANTICO;BARRANQUILLA;7820;SERVICIOS;6;0;1;1;0;2023
900782678;IINFRAESTRUCTURA Y SERVICIOS DE COLOMBIA SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;6209;SERVICIOS;6;1;7;6;2;2023
900580322;constructora palo de agua sas;SUPERSOCIEDADES;Región Andina;RISARALDA;PEREIRA;4111;CONSTRUCCIÓN;6;2;11;8;4;2023
800024834;CLINICA DE OTORRINOLARINGOLOGIA DE ANTIOQUIA S.AORLANT S.A;SUPERSALUD;Región Andina;ANTIOQUIA;MEDELLIN;8621;SERVICIOS;6;0;2;1;1;2023
830015534;OGA SISTEMVAC SAS;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;2819;MANUFACTURA;6;1;4;2;2;2023
901224279;SOCIEDAD OMERCIALIZADORA CARBONES  CARBONORA SAS;SUPERSOCIEDADES;Región Andina;NORTE DE SANTANDER;BOCHALEMA;510;MINERO;6;0;4;4;0;2023
830038805;REPRESENTACIONES OIL FILTERS SA;SUPERSOCIEDADES;Región Andina;BOGOTA D.C.;BOGOTA D.C.;4732;COMERCIO;6;0;4;3;1;2023
